メーカー名,正規化名,分類,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,取得手段,出典URL,確度,備考,別名
Avex Entertainment,Avex Entertainment,英字ブランド,,,,,,,,,,不明,,
BUNDOK(バンドック),BUNDOK,和名法人らしき,,,,,,,,,,不明,,バンドック
アトラス,アトラス,和名法人らしき,,,,,,,,,,不明,,
DISNEY PIXAR(ディズニー ピクサー),DISNEY PIXAR,和名法人らしき,,,,,,,,,,不明,,ディズニー ピクサー
コロムビアミュージックエンタテインメント,コロムビアミュージックエンタテインメント,和名法人らしき,,,,,,,,,,不明,,
ラウンドアップ,ラウンドアップ,和名法人らしき,,,,,,,,,,不明,,
TAROTIKA,TAROTIKA,英字ブランド,,,,,,,,,,不明,,
Fender(フェンダー),Fender,和名法人らしき,,,,https://www.fender.com/ja-JP/,0120-1946-60,,Askfender.jp@fender.com,既取得55社(T-20260804-001),https://jp-support.fender.com/hc/ja,確定,[既取得55社(T-20260804-001)] 直取引困難・正規窓口。日本拠点=Fender Music株式会社(東京都渋谷区)。0120-1946-60(平日10-17時) / 規模:海外 / 元メーカー名表記:Fender フェンダー,フェンダー
Polydor,Polydor,英字ブランド,,,,,,,,,,不明,,
Nikitea,Nikitea,英字ブランド,,,,,,,,,,不明,,
Scholastic,Scholastic,英字ブランド,,,,,,,,,,不明,,
チャオ (CIAO),チャオ,和名法人らしき,,,,,,,,,,不明,,CIAO
水曜どうでしょう,水曜どうでしょう,和名法人らしき,,,,,,,,,,不明,,
SNK,SNK,英字ブランド,,,,,,,,,,不明,,
WARNER RECORDS,WARNER RECORDS,英字ブランド,,,,,,,,,,不明,,
レゴ(LEGO),レゴ,和名法人らしき,,,,https://www.lego.com/ja-jp,0800-888-0197,https://www.lego.com/ja-jp/service/contact-us,,既取得55社(T-20260804-001),https://www.lego.com/ja-jp/service/contact-us,確定,[既取得55社(T-20260804-001)] 海外ブランド。レゴ日本カスタマーサービス0800-888-0197。直取引困難・代理店/正規窓口(カスタマーサービス)。メール無くフォームのみ / 規模:海外 / 元メーカー名表記:レゴ LEGO,LEGO
NEC,NEC,英字ブランド,,,,,,,,,,不明,,
Lions Gate,Lions Gate,英字ブランド,,,,,,,,,,不明,,
asics(アシックス),asics,和名法人らしき,,,,,,,,,,不明,,アシックス
MIKIHOUSE(ミキハウス),MIKIHOUSE,和名法人らしき,,,,,,,,,,不明,,ミキハウス
SilentPower,SilentPower,英字ブランド,,,,,,,,,,不明,,
Plaion Pictures,Plaion Pictures,英字ブランド,,,,,,,,,,不明,,
HOKA,HOKA,英字ブランド,,,,,,,,,,不明,,
htrahy,htrahy,英字ブランド,,,,,,,,,,不明,,
CHUSII,CHUSII,英字ブランド,,,,,,,,,,不明,,
ZZU,ZZU,英字ブランド,,,,,,,,,,不明,,
Vulendu,Vulendu,英字ブランド,,,,,,,,,,不明,,
AirDry,AirDry,英字ブランド,,,,,,,,,,不明,,
Boytond,Boytond,英字ブランド,,,,,,,,,,不明,,
VELIKE,VELIKE,英字ブランド,,,,,,,,,,不明,,
オウルテック,オウルテック,和名法人らしき,,,,,,,,,,不明,,
actiTube,actiTube,英字ブランド,,,,,,,,,,不明,,
PRXA,PRXA,英字ブランド,,,,,,,,,,不明,,
Newluck,Newluck,英字ブランド,,,,,,,,,,不明,,
TIGORA(ティゴラ),TIGORA,和名法人らしき,,,,,,,,,,不明,,ティゴラ
クイックル,クイックル,和名法人らしき,,,,,,,,,,不明,,
FleekFit,FleekFit,英字ブランド,,,,,,,,,,不明,,
AWINEY,AWINEY,英字ブランド,,,,,,,,,,不明,,
ニチアス,ニチアス,和名法人らしき,,,,,,,,,,不明,,
ブレイン(BRAIN),ブレイン,和名法人らしき,,,,,,,,,,不明,,BRAIN
RUOEVA,RUOEVA,英字ブランド,,,,,,,,,,不明,,
Juliyas,Juliyas,英字ブランド,,,,,,,,,,不明,,
Vibaleg,Vibaleg,英字ブランド,,,,,,,,,,不明,,
FIDECO,FIDECO,英字ブランド,,,,,,,,,,不明,,
Svoko,Svoko,英字ブランド,,,,,,,,,,不明,,
Glaazo,Glaazo,英字ブランド,,,,,,,,,,不明,,
JOKITA,JOKITA,英字ブランド,,,,,,,,,,不明,,
Gumsry,Gumsry,英字ブランド,,,,,,,,,,不明,,
Finish Line,Finish Line,英字ブランド,,,,,,,,,,不明,,
E-enemo,E-enemo,英字ブランド,,,,,,,,,,不明,,
SK-CinDa,SK-CinDa,英字ブランド,,,,,,,,,,不明,,
Rikuto,Rikuto,英字ブランド,,,,,,,,,,不明,,
JGUG,JGUG,英字ブランド,,,,,,,,,,不明,,
YUDOFICAL,YUDOFICAL,英字ブランド,,,,,,,,,,不明,,
SAZAC,SAZAC,英字ブランド,,,,,,,,,,不明,,
Casio,Casio,英字ブランド,,,,,,,,,,不明,,
DYKL,DYKL,英字ブランド,,,,,,,,,,不明,,
CEREMONY,CEREMONY,英字ブランド,,,,,,,,,,不明,,
ビーエムオンライン,ビーエムオンライン,和名法人らしき,,,,,,,,,,不明,,
Airクリーンラボ,Airクリーンラボ,和名法人らしき,,,,,,,,,,不明,,クリーンラボ | Air
ELUTENG,ELUTENG,英字ブランド,,,,,,,,,,不明,,
Ashei,Ashei,英字ブランド,,,,,,,,,,不明,,
LongFlight,LongFlight,英字ブランド,,,,,,,,,,不明,,
GOODNEW,GOODNEW,英字ブランド,,,,,,,,,,不明,,
曙産業,曙産業,和名法人らしき,株式会社曙産業,,〒959-1234 新潟県燕市南一丁目2番11号,https://www.akebono-sa.co.jp/,0256-63-5071,,,Exa検索(エージェント取得),https://www.akebono-sa.co.jp/help/about ; https://webdb.tsjiba.or.jp/main/company/00001529/show,確定,[Exa検索(エージェント取得)] ★★最有力。昭和27年創業・資本金1000万円・従業員48〜60名。商品企画から金型・成形・組立まで社内一貫生産のプラスチック総合メーカー。燕三条ものづくり企業ナビ（燕三条地場産業振興センター＝公的機関）の企業情報に『**お客様の仕様に従った製品（OEM製品）の開発設計も承っております**』『**既製品の少量から大量受注も承ります**』『詳細はお気軽にご相談ください』と明記。**少量取引を自ら受け付けている**。営業お断りの記載なし。フォームURLは特定できず未取得 / Exa取得日:2026-09-04,
富士フレーバー,富士フレーバー,和名法人らしき,,,,,,,,,,不明,,
BRJR,BRJR,英字ブランド,,,,,,,,,,不明,,
Gourde,Gourde,英字ブランド,,,,,,,,,,不明,,
BUODCO,BUODCO,英字ブランド,,,,,,,,,,不明,,
日進医療器,日進医療器,和名法人らしき,日進医療器株式会社,,〒481-8681 愛知県北名古屋市沖村権現35番地の2,https://www.wheelchair.co.jp/,0568-21-0635,https://www.wheelchair.co.jp/contact/,,Exa検索(エージェント取得),https://www.wheelchair.co.jp/base/ ; https://www.wheelchair.co.jp/contact/,確定,"[Exa検索(エージェント取得)] 昭和39年設立・資本金5,000万円・従業員150名の車いす／医療福祉機器メーカー。★注意：公式サイトに『販売店様用パスワード』で保護された領域があり、**正規販売店制度を敷いている**。飛び込みでの取引は難しい可能性が高い。また車いすは管理医療機器に当たる可能性があり、出品前に薬機法の確認が必要（サトルのA-4案件） / Exa取得日:2026-09-04",
LXCRTONE,LXCRTONE,英字ブランド,,,,,,,,,,不明,,
PACPAK,PACPAK,英字ブランド,,,,,,,,,,不明,,
YOSH,YOSH,英字ブランド,,,,,,,,,,不明,,
BINGFU,BINGFU,英字ブランド,,,,,,,,,,不明,,
Screwpop,Screwpop,英字ブランド,,,,,,,,,,不明,,
Feesun,Feesun,英字ブランド,,,,,,,,,,不明,,
Lamicall,Lamicall,英字ブランド,,,,,,,,,,不明,,
HARU,HARU,英字ブランド,,,,,,,,,,不明,,
リッチェル(Richell),リッチェル,和名法人らしき,株式会社リッチェル（Richell Corporation）,,〒939-0592 富山県富山市水橋桜木136,https://www.richell.co.jp/,076-478-2155,https://www.richell.co.jp/form/business/contact.php,,Exa検索(エージェント取得),https://www.richell.co.jp/company/outline/ ; https://www.richell.co.jp/form/business/contact.php,確定,"[Exa検索(エージェント取得)] 法人向けフォームが公開されている。★ただし同フォームに『商品やサービスの売り込み、製品アイデア等のご提案はご遠慮ください』と明記。当社の用件は『買う側の仕入れ打診』で売り込みではないが、拒否の意思表示があるため**フォーム利用の可否はカズヨ判断を仰ぐ**。代表電話とは別にお客様相談室 076-478-2957 あり。資本金6億1,800万円・従業員308名 / Exa取得日:2026-09-04",Richell
鈴木ラテックス(SUZUKILATEX),鈴木ラテックス,和名法人らしき,"株式会社 鈴木ラテックス（Suzuki Latex Industry Co., Ltd.）",,〒285-0813 千葉県佐倉市石川591-10（本社・石川工場）／〒260-0021 千葉県千葉市中央区新宿2-5-1 千葉中央トーセイビルII 4F 406号（千葉営業所）,https://suzukilatex.com/,043-486-7963,https://suzukilatex.com/contact/,,Exa検索(エージェント取得),https://suzukilatex.com/company/ ; https://suzukilatex.com/contact/,確定,[Exa検索(エージェント取得)] ★本丸候補。ヨーヨー風船・各種風船・工業用指サックの製造販売。米国向け輸出実績あり。**メールは意図的に空欄**：公式サイトに info@su…atex.com と表示されたが末尾が欠けており、info@suzukilatex.com と推測はできても現物確認ができていないため埋めない。公式は『お問い合わせは電話またはFaxで』と案内している（受付 平日9:00-17:00） / Exa取得日:2026-09-04,SUZUKILATEX
バイクハンド(Bike Hand),バイクハンド,和名法人らしき,,,,,,,,,,不明,,Bike Hand
Cryfokt,Cryfokt,英字ブランド,,,,,,,,,,不明,,
Onalra,Onalra,英字ブランド,,,,,,,,,,不明,,
アイサポモバイル,アイサポモバイル,和名法人らしき,,,,,,,,,,不明,,
Yukimoto,Yukimoto,英字ブランド,,,,,,,,,,不明,,
Mountsafe,Mountsafe,英字ブランド,,,,,,,,,,不明,,
Liaolee,Liaolee,英字ブランド,,,,,,,,,,不明,,
Mtricpop,Mtricpop,英字ブランド,,,,,,,,,,不明,,
IAPOS,IAPOS,英字ブランド,,,,,,,,,,不明,,
ＡＮＤＥＲＹ,ANDERY,英字ブランド,,,,,,,,,,不明,,
MIATONE,MIATONE,英字ブランド,,,,,,,,,,不明,,
Gillmar,Gillmar,英字ブランド,,,,,,,,,,不明,,
Speiow,Speiow,英字ブランド,,,,,,,,,,不明,,
BONTEC,BONTEC,英字ブランド,,,,,,,,,,不明,,
Audwierr,Audwierr,英字ブランド,,,,,,,,,,不明,,
TELESIN,TELESIN,英字ブランド,,,,,,,,,,不明,,
IKUNTOP,IKUNTOP,英字ブランド,,,,,,,,,,不明,,
Letpedi,Letpedi,英字ブランド,,,,,,,,,,不明,,
Cambink,Cambink,英字ブランド,,,,,,,,,,不明,,
atolla,atolla,英字ブランド,,,,,,,,,,不明,,
マーナ(Marna),マーナ,和名法人らしき,,,,,,,,,,不明,,Marna
LISEN,LISEN,英字ブランド,,,,,,,,,,不明,,
Seiko,Seiko,英字ブランド,,,,,,,,,,不明,,
Belkin,Belkin,英字ブランド,,,,,,,,,,不明,,
Vellope,Vellope,英字ブランド,,,,,,,,,,不明,,
Eynew,Eynew,英字ブランド,,,,,,,,,,不明,,
zonzon,zonzon,英字ブランド,,,,,,,,,,不明,,
OMKUY,OMKUY,英字ブランド,,,,,,,,,,不明,,
矢崎エナジーシステム㈱,矢崎エナジーシステム,和名法人らしき,,,,,,,,,,不明,,
GooSpy,GooSpy,英字ブランド,,,,,,,,,,不明,,
経営科学出版,経営科学出版,和名法人らしき,株式会社経営科学出版,,〒108-0075 東京都港区港南2-16-1 品川イーストワンタワー9F,https://keieikagakupub.com/,06-6121-6211,,,Exa検索(エージェント取得),https://keieikagakupub.com/company/ ; https://renew.keieikagakupub.com/company/,確定,"[Exa検索(エージェント取得)] 2010年創業。ダイレクト出版株式会社の関連会社で、事業概要は『教育事業、社会人向けコンテンツ販売』＝**ダイレクトマーケティング型の出版社**。書店流通が主ではないため、一般的な出版仕入れの動線と異なる。資本金は公式500万円／マイナビ1,000万円と食い違いがあり、公式の値を採った / Exa取得日:2026-09-04",
KJKD,KJKD,英字ブランド,,,,,,,,,,不明,,
Alprojec,Alprojec,英字ブランド,,,,,,,,,,不明,,
VANBOKEE,VANBOKEE,英字ブランド,,,,,,,,,,不明,,
TAREASS,TAREASS,英字ブランド,,,,,,,,,,不明,,
Dreemstar,Dreemstar,英字ブランド,,,,,,,,,,不明,,
Mattel Games,Mattel Games,英字ブランド,,,,,,,,,,不明,,
Yibest,Yibest,英字ブランド,,,,,,,,,,不明,,
ウッディプッディ(Woodypuddy),ウッディプッディ,和名法人らしき,,,,,,,,,,不明,,Woodypuddy
Bulonchi,Bulonchi,英字ブランド,,,,,,,,,,不明,,
Tecaki,Tecaki,英字ブランド,,,,,,,,,,不明,,
コンチネンタル(Continental),コンチネンタル,和名法人らしき,,,,,,,,,,不明,,Continental
GOBOT,GOBOT,英字ブランド,,,,,,,,,,不明,,
アイアップ,アイアップ,和名法人らしき,株式会社アイアップ,,〒150-0002 東京都渋谷区渋谷1-5-7,https://www.eyeup.co.jp/,03-5467-5060,,,Exa検索(エージェント取得),https://www.eyeup.co.jp/f/company,確定,[Exa検索(エージェント取得)] 法人番号は検索結果に出ず（未取得）。フォームURLは会社概要ページからは特定できず未取得。メール非公開 / Exa取得日:2026-09-04,
NIPLUX,NIPLUX,英字ブランド,,,,,,,,,,不明,,
Aterm,Aterm,英字ブランド,,,,,,,,,,不明,,
COOLERPLUS,COOLERPLUS,英字ブランド,,,,,,,,,,不明,,
KOSS(コス),KOSS,和名法人らしき,,,,,,,,,,不明,,コス
Magcubic,Magcubic,英字ブランド,,,,,,,,,,不明,,
ZWILLING,ZWILLING,英字ブランド,,,,,,,,,,不明,,
コロンバスサークル,コロンバスサークル,和名法人らしき,,,,,,,,,,不明,,
Jimveo,Jimveo,英字ブランド,,,,,,,,,,不明,,
Yuuscc,Yuuscc,英字ブランド,,,,,,,,,,不明,,
YEAHYO,YEAHYO,英字ブランド,,,,,,,,,,不明,,
コールマン(Coleman),コールマン,和名法人らしき,,,,,,,,,,不明,,Coleman
BMSE,BMSE,英字ブランド,,,,,,,,,,不明,,
BIALETTI(ビアレッティ),BIALETTI,和名法人らしき,,,,,,,,,,不明,,ビアレッティ
Keculbo,Keculbo,英字ブランド,,,,,,,,,,不明,,
Trafalgar Square Publishing,Trafalgar Square Publishing,英字ブランド,,,,,,,,,,不明,,
KOJIHOMU,KOJIHOMU,英字ブランド,,,,,,,,,,不明,,
iGPSPORT,iGPSPORT,英字ブランド,,,,,,,,,,不明,,
HANMATEK,HANMATEK,英字ブランド,,,,,,,,,,不明,,
Bosch,Bosch,英字ブランド,,,,,,,,,,不明,,
LEKGAVD,LEKGAVD,英字ブランド,,,,,,,,,,不明,,
BMAXPAD,BMAXPAD,英字ブランド,,,,,,,,,,不明,,
TTJJ,TTJJ,英字ブランド,,,,,,,,,,不明,,
Wacom(ワコム),Wacom,和名法人らしき,,,,,,,,,,不明,,ワコム
フライングドッグ,フライングドッグ,和名法人らしき,,,,,,,,,,不明,,
祥伝社,祥伝社,和名法人らしき,,,,,,,,,,不明,,
OTTOCAST,OTTOCAST,英字ブランド,Azgate株式会社,,〒556-0011 大阪府大阪市浪速区難波中2-4-12 ティタカラナビル303号室,https://ottocast.co.jp/,03-6899-5900,https://ottocast.jp/pages/contact-us,support@ottocast.co.jp,Exa検索(エージェント取得),https://ottocast.co.jp/company/ ; https://ottocast.jp/pages/faq,確定,[Exa検索(エージェント取得)] Ottocast 本体は中国。日本の正規販売代理店として Azgate株式会社（ottocast.co.jp）が会社概要を公開。**ただし公式ストア ottocast.jp が2026-08-25に『公式・正規販売店に関する重要なお知らせ』を出しており、どちらが正規かは要確認**。電話 03-6899-5900 と support@ottocast.jp は ottocast.jp 側、support@ottocast.co.jp は Azgate 側。混同しないこと。法人番号は未取得 / Exa取得日:2026-09-04,
Galaxy,Galaxy,英字ブランド,,,,,,,,,,不明,,
サイバーガジェット,サイバーガジェット,和名法人らしき,,,,,,,,,,不明,,
LONPOO,LONPOO,英字ブランド,,,,,,,,,,不明,,
Graphixly,Graphixly,英字ブランド,Graphixly LLC,,"2605 Camino Tassajara #2594, Danville, CA 94526, U.S.A.",https://graphixly.com/,,https://graphixly.com/pages/contact-us,info@graphixly.com,Exa検索(エージェント取得),https://graphixly.com/pages/contact-us,確定,[Exa検索(エージェント取得)] CLIP STUDIO PAINT の北米・南米・欧州向け正規代理店（米国法人）。日本法人・日本窓口なし。**日本向けの仕入れ先にはならない**（Amazon.co.jp 上の商品は並行輸入）。法人番号は米国法人のため概念として存在しない / Exa取得日:2026-09-04,
Saluyar,Saluyar,英字ブランド,,,,,,,,,,不明,,
シュナイダーエレクトリック(APC),シュナイダーエレクトリック,和名法人らしき,,,,,,,,,,不明,,APC
Headwolf,Headwolf,英字ブランド,,,,,,,,,,不明,,
TCエンタテインメント,TCエンタテインメント,和名法人らしき,,,,,,,,,,不明,,エンタテインメント | TC
朝日新聞出版,朝日新聞出版,和名法人らしき,,,,,,,,,,不明,,
Wondershare,Wondershare,英字ブランド,,,,,,,,,,不明,,
うちのこエレクトリック,うちのこエレクトリック,和名法人らしき,,,,,,,,,,不明,,
ブロッコリー(BROCCOLI),ブロッコリー,和名法人らしき,,,,,,,,,,不明,,BROCCOLI
メデラ,メデラ,和名法人らしき,,,,,,,,,,不明,,
ジャニーズ･エンタテイメント,ジャニーズ・エンタテイメント,和名法人らしき,株式会社ジャニーズ・エンタテイメント,2011001042053,〒107-0052 東京都港区赤坂8丁目11番20号,,,,,Exa検索(エージェント取得),https://datagojp.com/corporate/2011001042053,候補,[Exa検索(エージェント取得)] 法人番号・商号・所在地は取れたが、**連絡手段はゼロ**。ジャニーズ事務所は2023-10に SMILE-UP. へ商号変更し、マネジメントは STARTO ENTERTAINMENT へ移管。レーベルとしての公式サイト・窓口は現存しない。登記情報の最終変更は2019-02-26。**実務上は連絡不能** / Exa取得日:2026-09-04,
C&G,C&G,英字ブランド,株式会社 Helio Japan,,〒541-0053 大阪市中央区本町1丁目2-2 ラシーヌ本町4F,http://helio-japan.com/,06-6266-1801,,,Exa検索(エージェント取得),http://helio-japan.com/company/ ; http://helio-japan.com/cg/,確定,[Exa検索(エージェント取得)] C&G は米カリフォルニア州サンディエゴ発祥のテーピングブランド。**日本の輸入販売元が株式会社 Helio Japan（設立 平成26年、資本金400万円）**。1回目の検索では所在地・電話が出ず、公式会社案内を fetch して確定した。**規模的に初回小ロットの交渉相手として現実的**。法人番号は未取得 / Exa取得日:2026-09-04,
NIMASO,NIMASO,英字ブランド,,,,,,,,,,不明,,
UNOKKI,UNOKKI,英字ブランド,,,,,,,,,,不明,,
ワンナイト人狼,ワンナイト人狼,和名法人らしき,,,,,,,,,,不明,,
USAYAMA,USAYAMA,英字ブランド,,,,,,,,,,不明,,
MiliCamp,MiliCamp,英字ブランド,,,,,,,,,,不明,,
iFLEX,iFLEX,英字ブランド,,,,,,,,,,不明,,
ColorfulHome,ColorfulHome,英字ブランド,,,,,,,,,,不明,,
Biyoso,Biyoso,英字ブランド,,,,,,,,,,不明,,
RABLISS,RABLISS,英字ブランド,,,,,,,,,,不明,,
TORRAS,TORRAS,英字ブランド,,,,,,,,,,不明,,
SAPHIR(サフィール),SAPHIR,和名法人らしき,,,,,,,,,,不明,,サフィール
ZAKUSA,ZAKUSA,英字ブランド,,,,,,,,,,不明,,
YBYP,YBYP,英字ブランド,,,,,,,,,,不明,,
LENUTO,LENUTO,英字ブランド,,,,,,,,,,不明,,
ロジテック,ロジテック,和名法人らしき,,,,,,,,,,不明,,
Sinjimoru,Sinjimoru,英字ブランド,,,,,,,,,,不明,,
Oregon,Oregon,英字ブランド,,,,,,,,,,不明,,
ＭＥＮＧＬＩ盟励,MENGLI盟励,和名法人らしき,,,,,,,,,,不明,,盟励 | MENGLI
BTIHCEUOT,BTIHCEUOT,英字ブランド,,,,,,,,,,不明,,
STARTRC,STARTRC,英字ブランド,,,,,,,,,,不明,,
ホーチキ(Hochiki),ホーチキ,和名法人らしき,,,,,,,,,,不明,,Hochiki
PYLAMISON,PYLAMISON,英字ブランド,,,,,,,,,,不明,,
TABITUS+,TABITUS+,英字ブランド,,,,,,,,,,不明,,
TP-Link,TP-Link,英字ブランド,,,,,,,,,,不明,,
LAOPAO,LAOPAO,英字ブランド,,,,,,,,,,不明,,
1Mii,1Mii,英字ブランド,,,,,,,,,,不明,,
Clipa,Clipa,英字ブランド,,,,,,,,,,不明,,
Portta,Portta,英字ブランド,,,,,,,,,,不明,,
サーモス(THERMOS),サーモス,和名法人らしき,サーモス株式会社,,〒108-0014 東京都港区芝4-1-23 三田NNビル,https://www.thermos.jp/,03-6260-4859,https://www.thermos.jp/support/order.html,,Exa検索(エージェント取得),https://www.thermos.jp/company/corporate.html ; https://www.pr-today.net/a00501/about/,候補,[Exa検索(エージェント取得)] 商号・所在地・資本金は公式会社概要で確認＝確定。**電話 03-6260-4859 は第三者のPR媒体のみの出典で公式サイトでは裏が取れていないため、行全体を候補とした。** 日本酸素ホールディングス全額出資・従業員297名。お客様相談室は新潟事業所（新潟県燕市吉田下中野1435） / Exa取得日:2026-09-04,THERMOS
太平洋工業,太平洋工業,和名法人らしき,,,,,,,,,,不明,,
BAL,BAL,英字ブランド,,,,,,,,,,不明,,
LEICA(ライカ),LEICA,和名法人らしき,,,,,,,,,,不明,,ライカ
Vexify,Vexify,英字ブランド,,,,,,,,,,不明,,
三陽金属(Sanyo Metal),三陽金属,和名法人らしき,,,,https://www.sanyo-mt.co.jp/,0794-82-0188,https://www.sanyo-mt.co.jp/contact/,,既取得55社(T-20260804-001),https://www.sanyo-mt.co.jp/contact,確定,[既取得55社(T-20260804-001)] 三陽金属株式会社（兵庫県三木市）。フリーダイヤル 0120-420-188 も。フォームあり / 規模:中小 / 元メーカー名表記:三陽金属 Sanyo Metal,Sanyo Metal
タカラ産業,タカラ産業,和名法人らしき,,,,,,,,,,不明,,
H&W,H&W,英字ブランド,,,,,,,,,,不明,,
hololive OFFICIAL CARD GAME,hololive OFFICIAL CARD GAME,英字ブランド,,,,,,,,,,不明,,
PKBジャパン,PKBジャパン,和名法人らしき,,,,,,,,,,不明,,ジャパン | PKB
PONAOO,PONAOO,英字ブランド,,,,,,,,,,不明,,
Annexfun,Annexfun,英字ブランド,,,,,,,,,,不明,,
コーナン,コーナン,和名法人らしき,,,,,,,,,,不明,,
丸隆,丸隆,和名法人らしき,,,,,,,,,,不明,,
Lector House,Lector House,英字ブランド,,,,,,,,,,不明,,
ZTCUIK,ZTCUIK,英字ブランド,,,,,,,,,,不明,,
INFOCAR,INFOCAR,英字ブランド,,,,,,,,,,不明,,
Blaze Entertainment,Blaze Entertainment,英字ブランド,,,,,,,,,,不明,,
Sinessy,Sinessy,英字ブランド,,,,,,,,,,不明,,
MJJC,MJJC,英字ブランド,,,,,,,,,,不明,,
LG,LG,英字ブランド,,,,,,,,,,不明,,
からからつみき(KARAKARATSUMIKI),からからつみき,和名法人らしき,,,,,,,,,,不明,,KARAKARATSUMIKI
BEAMS BOY(ビームスボーイ),BEAMS BOY,和名法人らしき,,,,,,,,,,不明,,ビームスボーイ
inforest,inforest,英字ブランド,,,,,,,,,,不明,,
ぴあ,ぴあ,和名法人らしき,,,,,,,,,,不明,,
パイロットコーポレーション(PILOT CORPORATION),パイロットコーポレーション,海外法人,,,,,,,,,,不明,,PILOT CORPORATION
ＹＡＺＡＫＩ,YAZAKI,英字ブランド,,,,,,,,,,不明,,
ジェネオン・ユニバーサル,ジェネオン・ユニバーサル,和名法人らしき,,,,,,,,,,不明,,
コクヨ(KOKUYO),コクヨ,和名法人らしき,,,,,,,,,,不明,,KOKUYO
EJD,EJD,英字ブランド,,,,,,,,,,不明,,
RK ROYAL KLUDGE,RK ROYAL KLUDGE,英字ブランド,,,,,,,,,,不明,,
Barbie,Barbie,英字ブランド,,,,,,,,,,不明,,
Franklin Sensors,Franklin Sensors,英字ブランド,,,,,,,,,,不明,,
Harvill Secker,Harvill Secker,英字ブランド,,,,,,,,,,不明,,
Garnier Editora,Garnier Editora,英字ブランド,,,,,,,,,,不明,,
ロゴヴィスタ,ロゴヴィスタ,和名法人らしき,,,,,,,,,,不明,,
etoe,etoe,英字ブランド,,,,,,,,,,不明,,
YZO,YZO,英字ブランド,,,,,,,,,,不明,,
Business,Business,英字ブランド,,,,,,,,,,不明,,
日本電興株式会社,日本電興株式会社,和名法人らしき,,,,,,,,,,不明,,
Flirva,Flirva,英字ブランド,,,,,,,,,,不明,,
Hachette Audio,Hachette Audio,英字ブランド,,,,,,,,,,不明,,
Laoynd,Laoynd,英字ブランド,,,,,,,,,,不明,,
フォーライフミュージックエンタテイメント,フォーライフミュージックエンタテイメント,和名法人らしき,,,,,,,,,,不明,,
Island Uk,Island Uk,英字ブランド,,,,,,,,,,不明,,
DVDBOX5枚組,DVDBOX5枚組,和名法人らしき,,,,,,,,,,不明,[Exa検索(エージェント取得)] **メーカー名ではない。抽出リストのノイズ行。** 代表商品は『古畑任三郎DVDBOX 2nd season [並行輸入品]』で、『DVDBOX5枚組』は商品の形状を表す文字列がブランド欄に入り込んだもの。調査対象にならないので検索も行っていない。**v14 の名寄せ側で除去すべき行** / Exa取得日:2026-09-04,5枚組 | DVDBOX5
Vintage Canada,Vintage Canada,英字ブランド,,,,,,,,,,不明,,
Imports,Imports,英字ブランド,,,,,,,,,,不明,,
VITURE,VITURE,英字ブランド,,,,,,,,,,不明,,
iZotope,iZotope,英字ブランド,,,,,,,,,,不明,,
ESET,ESET,英字ブランド,,,,,,,,,,不明,,
ベンキュージャパン,ベンキュージャパン,和名法人らしき,,,,,,,,,,不明,,
atRise,atRise,英字ブランド,,,,,,,,,,不明,,
快適設計IBR,快適設計IBR,和名法人らしき,,,,,,,,,,不明,,快適設計 | IBR
TEOOT,TEOOT,英字ブランド,,,,,,,,,,不明,,
Hikari(ヒカリ),Hikari,和名法人らしき,,,,,,,,,,不明,,ヒカリ
Scndtne,Scndtne,英字ブランド,,,,,,,,,,不明,,
LETMY,LETMY,英字ブランド,,,,,,,,,,不明,,
四国化成工業,四国化成工業,和名法人らしき,,,,,,,,,,不明,,
Tarkins,Tarkins,英字ブランド,,,,,,,,,,不明,,
eue,eue,英字ブランド,,,,,,,,,,不明,,
Twofox,Twofox,英字ブランド,,,,,,,,,,不明,,
ナイキ(NIKE),ナイキ,和名法人らしき,,,,,,,,,,不明,,NIKE
THRIVE(スライヴ),THRIVE,和名法人らしき,,,,,,,,,,不明,,スライヴ
IMDEN CHARGE,IMDEN CHARGE,英字ブランド,,,,,,,,,,不明,,
SEMOTU,SEMOTU,英字ブランド,,,,,,,,,,不明,,
ACMEZING,ACMEZING,英字ブランド,,,,,,,,,,不明,,
SCM Microsystems,SCM Microsystems,英字ブランド,,,,,,,,,,不明,,
ルートアール,ルートアール,和名法人らしき,,,,,,,,,,不明,,
Bolvunes,Bolvunes,英字ブランド,,,,,,,,,,不明,,
Yamazaki(山崎実業),Yamazaki,和名法人らしき,,,,,,,,,,不明,,山崎実業
AooDen,AooDen,英字ブランド,,,,,,,,,,不明,,
日本のオラクルカード・タロットカード全集,日本のオラクルカード・タロットカード全集,和名法人らしき,,,,,,,,,,不明,,
MAXZIQF,MAXZIQF,英字ブランド,,,,,,,,,,不明,,
TOWOOZ,TOWOOZ,英字ブランド,,,,,,,,,,不明,,
138OnlineShop,138OnlineShop,英字ブランド,,,,,,,,,,不明,,
イーサプライ,イーサプライ,和名法人らしき,,,,,,,,,,不明,,
